מספר חברה,שם חברה
915090,חברת דואר ישראל בעמ
915093,חברת דואר ישראל בעמ
915094,חברת דואר ישראל בעמ
915127,חברת דואר ישראל בעמ
915285,"חברת דואר ישראל בע""מ - בנק הדואר"
915349,חברת דואר ישראל ועד
915368,חברת דואר ישראל בעמ
915385,חברת דואר ישראל בעמ
917137,חברת דואר ישראל - מיכון תחזוקה ומיחשוב - ועד
917145,"חברת דואר ישראל בע""מ"
917146,חברת דואר ישראל בעמ
917188,חברת דואר ישראל ועד
917193,חברת דואר ישראל - ועד דואר קריית שמונה
917232,חברת דואר ישראל ועד
917962,חברת דואר ישראל  מרח
923104,חברת דואר ישראל ועד
7480,רשות שדות התעופה
910609,רשות שדות התעופה ועד
912559,רשות שדות התעופה   ו
914234,רשות שדות התעופה - ועד הנדסאים
915017,רשות שדות התעופה ועד
916136,ש שלמה אחזקות בעמ
921361,ש שלמה חברה לביטוח
916137,ש שלמה מכירות רכב ב
916135,ש שלמה רכב בעמ
1799,שיר   שלמה יבוא רכ
906525,ש.ע.ל שירותי עזר לסוכן הנסיעות
89838,ש.ע.ל שרותי עב' לסטודנט
462339,ש.ע.ל שרותי עב' לסטודנט מיסודה
914323,"ש.ע.ל רובין בע""מ"
29644,ש.ע.ל - שירותים עסקיים לתיירות
916862,שפ שווקים פיננסיים
921842,שופרסל
915409,שופרסל אגף פיתוח נכסים ואחזקה
915445,שופרסל אונליין
900870,"שופרסל ביילסול השקעות בע""מ"
918713,"שופרסל בע""מ - הנהלה ראשית"
916960,שופרסל דיל
909175,שופרסל הדרכה
912632,שופרסל ועד ארצי
900821,שופרסל משרד ראשי - ועד עובדים
924065,שופרסל - בונוס תו סלולרי
921309,"שופרסל - ביילסול השקעות בע""מ"
926341,שופרסל - גיפטקארד באונליין
921410,שופרסל - מוקד מאוחד
921855,שופרסל - מוקד תווים
914144,שופרסל - מותג פרטי
914202,שופרסל - מחלקת תוי קניה
915460,שופרסל - מחלקת בטחון ובקרה
921682,שופרסל - מטה יש
927065,שופרסל - מכירת תווים סלולריים
916018,שופרסל - מערכות מידע
2836,שופרסל - מתנות לשמחות ולחגים
919136,שופרסל - סחר ושיווק
910769,שופרסל - פרסום ושיווק
912516,שופרסל - פרסום מועדון לקוחות
915441,שופרסל - תפעול ושרשרת אספקה
925327,"שופרסל - תקלת ""העבר לחבר"" - וריפון"
908098,            שופרסל פיננסים שותפות מוגבלת
909176,שופרסל תלונות הציבור
905403,שופרסל תרומות
915230,שופרסל 50 פלוס
910230,שופרסל - אגף הכספים
912515,שופרסל - אגף הבשר
906018,שופרסל - החידה למען החייל של עמי גולדמן
915395,שופרסל - תעודות שי
926532,"שטראוס אסטרטגיה ייעוץ ומערכות בע""מ"
907349,"שטראוס בע""מ חטיבת מכירות"
917016,שטראוס גרופ בעמ
907216,1993 שטראוס השקעות
912232,"שטראוס ובנו בע""מ"
2819,"שטראוס ושות' - יהלומי תעשיה בע""מ"
900066,שטראוס לזר
910873,"שטראוס מחלבות בע""מ"
918911,שטראוס ממתקים   ועד
14590,שטראוס מעדני עולם
923520,שטראוס נס קפה - ועד
909748,"שטראוס עלית ע""מ"
927438,שטראוס קפה בי יו
74388,שטראוס קפה טו גו בע
919224,שטראוס קפה לוד ועד ע
14591,"שטראוס שווק ירושלים תש""ל בע""מ"
443685,"שטראוס שיווק בע""מ"
914502,שירותי בריאות כללית
916995,  שירותי בריאות כללית
921405,שירותי בריאות כללית
924673,שירותי בריאות כללית  מחוז צפון
916138,שלמה כאל בעמ
919882,שלמה רשת מוסכים
916133,שלמה תחבורה בעמ
925330,שפע הצלחה ולוגיסטיקה
909540,"תדיראן טלקום מערכות עסקיות בע""מ"
911063,תדיראן טלקום תטל
914248,תדיראן טלקום שירותי
918476,תדיראן טלקום תטל
924807,תדיראן טלקום שירותי תקשורת בישראל ועד עו
910757,תנובה אגף שיווק בשר
904027,"תנובה בע""מ"
913264,תנובה גליל מאמא עו
915427,תנובה חטיבת הבשר מרכז הפצה גוש דן
904983,תנובה ירושלים
30352,תנובה מחשבים
903638,תנובה מרכז שתופי לשי
923476,תנובה מרכז שיתופי לשיווק -ועד
923369,תנובה פת   מרלוג גוש דן
924376,תנובה - ועד עובדים ארצי
901530,תעשיה צבאית ארגון אר
910002,לשכת המסחר תל אביב - יפו ומרכז
916940,מורשה ודעת ער
924253,מילב  מועדוני הגמלאי
918497,מילב מועדוני יום גמלאי בחיפה
918480,מימון ישיר מקבוצת יש
910807,מכבי אש עפולה
914034,"מכבידנט בע""מ"
910077,מלונות פתאל בעמ
918343,מרכז משען בעמ
