מספר חברה,שם חברה
916961,משרד הבטחון   מנהר
921594,#N/A
907199,#N/A
910444,משרד הבטחון אגף השיק
900071,#N/A
911770,משרד הביטחון ארגון ה
915346,#N/A
912606,משרד הביטחון  משבח
919051,משרד הביטחון ועד עובדים
910515,נופש חלומי בעמ
900162,נטלי חברה לרפואה דחו
917584,#N/A
913551,#N/A
921006,"נטלי פלוס בע""מ"
910591,#N/A
911570,#N/A
905802,#N/A
911409,#N/A
910365,#N/A
910366,#N/A
910626,#N/A
912307,#N/A
912417,#N/A
904873,#N/A
912457,#N/A
905594,נעמת
910595,#N/A
910380,#N/A
903877,#N/A
901580,#N/A
904117,#N/A
905010,#N/A
920928,#N/A
910596,#N/A
900543,#N/A
905009,#N/A
901353,#N/A
911434,#N/A
